ROTESTE PIXEL KOORDINATEN (MESSBILD)
==================================================

Anzahl vertikaler Linien: 500
Marker-Größe: 5 px
Boden-ROI-Größe: 2624 x 2624 px

Gefundene roteste Pixel: 500

  Linie 1: x=1, y=1386
  Linie 104: x=543, y=1316
  Linie 105: x=545, y=1317
  Linie 106: x=552, y=1318
  Linie 107: x=559, y=1300
  Linie 108: x=562, y=1310
  Linie 109: x=570, y=1303
  Linie 110: x=574, y=1305
  Linie 111: x=578, y=1297
  Linie 112: x=585, y=1281
  Linie 113: x=592, y=1288
  Linie 114: x=597, y=1283
  Linie 115: x=602, y=1289
  Linie 116: x=603, y=1289
  Linie 117: x=613, y=1276
  Linie 118: x=614, y=1277
  Linie 119: x=619, y=1276
  Linie 120: x=624, y=1271
  Linie 121: x=634, y=1271
  Linie 122: x=639, y=1262
  Linie 123: x=642, y=1261
  Linie 124: x=649, y=1252
  Linie 125: x=652, y=1253
  Linie 126: x=656, y=1248
  Linie 127: x=661, y=1243
  Linie 128: x=670, y=1227
  Linie 129: x=674, y=1227
  Linie 130: x=676, y=1225
  Linie 131: x=685, y=1223
  Linie 132: x=687, y=1225
  Linie 133: x=692, y=1223
  Linie 134: x=698, y=1216
  Linie 135: x=705, y=1214
  Linie 136: x=708, y=1209
  Linie 137: x=713, y=1210
  Linie 138: x=718, y=1209
  Linie 139: x=724, y=1212
  Linie 140: x=729, y=1214
  Linie 141: x=736, y=1214
  Linie 142: x=740, y=1225
  Linie 143: x=749, y=1216
  Linie 144: x=753, y=1218
  Linie 145: x=758, y=1223
  Linie 146: x=765, y=1221
  Linie 147: x=767, y=1221
  Linie 148: x=771, y=1220
  Linie 149: x=776, y=1227
  Linie 150: x=781, y=1227
  Linie 151: x=791, y=1236
  Linie 152: x=792, y=1235
  Linie 153: x=797, y=1240
  Linie 154: x=802, y=1238
  Linie 155: x=812, y=1245
  Linie 156: x=816, y=1247
  Linie 157: x=822, y=1256
  Linie 158: x=825, y=1258
  Linie 159: x=833, y=1264
  Linie 160: x=837, y=1266
  Linie 161: x=839, y=1268
  Linie 162: x=844, y=1273
  Linie 163: x=853, y=1289
  Linie 164: x=855, y=1287
  Linie 165: x=860, y=1288
  Linie 166: x=865, y=1292
  Linie 167: x=873, y=1292
  Linie 168: x=876, y=1296
  Linie 169: x=884, y=1302
  Linie 170: x=886, y=1309
  Linie 171: x=893, y=1313
  Linie 172: x=900, y=1319
  Linie 173: x=902, y=1319
  Linie 174: x=907, y=1324
  Linie 175: x=916, y=1326
  Linie 176: x=918, y=1325
  Linie 177: x=927, y=1332
  Linie 178: x=929, y=1334
  Linie 179: x=934, y=1336
  Linie 180: x=943, y=1337
  Linie 181: x=945, y=1337
  Linie 182: x=949, y=1335
  Linie 183: x=955, y=1334
  Linie 184: x=964, y=1337
  Linie 185: x=969, y=1336
  Linie 186: x=975, y=1339
  Linie 187: x=980, y=1342
  Linie 188: x=985, y=1340
  Linie 189: x=986, y=1342
  Linie 190: x=995, y=1340
  Linie 191: x=1001, y=1339
  Linie 192: x=1002, y=1340
  Linie 193: x=1009, y=1329
  Linie 194: x=1015, y=1332
  Linie 195: x=1018, y=1328
  Linie 196: x=1023, y=1332
  Linie 197: x=1032, y=1332
  Linie 198: x=1035, y=1331
  Linie 199: x=1039, y=1331
  Linie 200: x=1046, y=1331
  Linie 201: x=1049, y=1333
  Linie 202: x=1055, y=1336
  Linie 203: x=1062, y=1330
  Linie 204: x=1065, y=1333
  Linie 205: x=1070, y=1329
  Linie 206: x=1076, y=1320
  Linie 207: x=1081, y=1322
  Linie 208: x=1086, y=1323
  Linie 209: x=1095, y=1321
  Linie 210: x=1097, y=1315
  Linie 211: x=1102, y=1320
  Linie 212: x=1110, y=1320
  Linie 213: x=1112, y=1321
  Linie 214: x=1117, y=1321
  Linie 215: x=1123, y=1321
  Linie 216: x=1132, y=1318
  Linie 217: x=1133, y=1316
  Linie 218: x=1138, y=1317
  Linie 219: x=1147, y=1320
  Linie 220: x=1149, y=1321
  Linie 221: x=1154, y=1320
  Linie 222: x=1164, y=1320
  Linie 223: x=1168, y=1315
  Linie 224: x=1171, y=1317
  Linie 225: x=1175, y=1319
  Linie 226: x=1185, y=1320
  Linie 227: x=1188, y=1319
  Linie 228: x=1191, y=1314
  Linie 229: x=1200, y=1320
  Linie 230: x=1205, y=1322
  Linie 231: x=1207, y=1320
  Linie 232: x=1216, y=1313
  Linie 233: x=1221, y=1312
  Linie 234: x=1226, y=1312
  Linie 235: x=1228, y=1312
  Linie 236: x=1234, y=1315
  Linie 237: x=1238, y=1316
  Linie 238: x=1248, y=1316
  Linie 239: x=1249, y=1317
  Linie 240: x=1256, y=1315
  Linie 241: x=1263, y=1315
  Linie 242: x=1266, y=1314
  Linie 243: x=1272, y=1314
  Linie 244: x=1275, y=1316
  Linie 245: x=1283, y=1326
  Linie 246: x=1285, y=1326
  Linie 247: x=1294, y=1328
  Linie 248: x=1300, y=1328
  Linie 249: x=1305, y=1331
  Linie 250: x=1306, y=1332
  Linie 251: x=1316, y=1338
  Linie 252: x=1317, y=1337
  Linie 253: x=1326, y=1338
  Linie 254: x=1327, y=1338
  Linie 255: x=1332, y=1337
  Linie 256: x=1342, y=1336
  Linie 257: x=1343, y=1336
  Linie 258: x=1348, y=1335
  Linie 259: x=1353, y=1331
  Linie 260: x=1360, y=1333
  Linie 261: x=1364, y=1333
  Linie 262: x=1373, y=1340
  Linie 263: x=1379, y=1336
  Linie 264: x=1382, y=1335
  Linie 265: x=1385, y=1332
  Linie 266: x=1394, y=1337
  Linie 267: x=1399, y=1336
  Linie 268: x=1401, y=1336
  Linie 269: x=1410, y=1335
  Linie 270: x=1415, y=1333
  Linie 271: x=1418, y=1332
  Linie 272: x=1423, y=1330
  Linie 273: x=1431, y=1327
  Linie 274: x=1436, y=1330
  Linie 275: x=1441, y=1325
  Linie 276: x=1447, y=1326
  Linie 277: x=1452, y=1317
  Linie 278: x=1457, y=1320
  Linie 279: x=1463, y=1314
  Linie 280: x=1468, y=1312
  Linie 281: x=1473, y=1310
  Linie 282: x=1474, y=1309
  Linie 283: x=1479, y=1310
  Linie 284: x=1487, y=1303
  Linie 285: x=1494, y=1297
  Linie 286: x=1497, y=1296
  Linie 287: x=1500, y=1297
  Linie 288: x=1506, y=1306
  Linie 289: x=1515, y=1299
  Linie 290: x=1519, y=1299
  Linie 291: x=1526, y=1297
  Linie 292: x=1527, y=1295
  Linie 293: x=1532, y=1289
  Linie 294: x=1540, y=1289
  Linie 295: x=1547, y=1277
  Linie 296: x=1548, y=1275
  Linie 297: x=1553, y=1284
  Linie 298: x=1562, y=1264
  Linie 299: x=1568, y=1260
  Linie 300: x=1569, y=1260
  Linie 301: x=1576, y=1258
  Linie 302: x=1579, y=1255
  Linie 303: x=1584, y=1254
  Linie 304: x=1594, y=1246
  Linie 305: x=1599, y=1241
  Linie 306: x=1600, y=1237
  Linie 307: x=1610, y=1240
  Linie 308: x=1613, y=1241
  Linie 309: x=1619, y=1240
  Linie 310: x=1623, y=1240
  Linie 311: x=1629, y=1243
  Linie 312: x=1633, y=1243
  Linie 313: x=1638, y=1237
  Linie 314: x=1646, y=1235
  Linie 315: x=1651, y=1236
  Linie 316: x=1653, y=1244
  Linie 317: x=1658, y=1249
  Linie 318: x=1666, y=1252
  Linie 319: x=1669, y=1254
  Linie 320: x=1677, y=1256
  Linie 321: x=1682, y=1248
  Linie 322: x=1686, y=1238
  Linie 323: x=1689, y=1239
  Linie 324: x=1695, y=1249
  Linie 325: x=1704, y=1263
  Linie 326: x=1705, y=1264
  Linie 327: x=1714, y=1258
  Linie 328: x=1716, y=1259
  Linie 329: x=1721, y=1260
  Linie 330: x=1726, y=1275
  Linie 331: x=1732, y=1274
  Linie 332: x=1738, y=1286
  Linie 333: x=1742, y=1287
  Linie 334: x=1748, y=1290
  Linie 335: x=1752, y=1291
  Linie 336: x=1758, y=1301
  Linie 337: x=1765, y=1297
  Linie 338: x=1768, y=1301
  Linie 339: x=1774, y=1306
  Linie 340: x=1779, y=1307
  Linie 341: x=1788, y=1330
  Linie 342: x=1789, y=1329
  Linie 343: x=1794, y=1332
  Linie 344: x=1802, y=1334
  Linie 345: x=1805, y=1336
  Linie 346: x=1813, y=1342
  Linie 347: x=1819, y=1346
  Linie 348: x=1821, y=1346
  Linie 349: x=1826, y=1349
  Linie 350: x=1831, y=1355
  Linie 351: x=1836, y=1358
  Linie 352: x=1846, y=1371
  Linie 353: x=1848, y=1370
  Linie 354: x=1852, y=1370
  Linie 355: x=1862, y=1387
  Linie 356: x=1864, y=1387
  Linie 357: x=1872, y=1396
  Linie 358: x=1876, y=1399
  Linie 359: x=1878, y=1399
  Linie 360: x=1885, y=1393
  Linie 361: x=1889, y=1390
  Linie 362: x=1898, y=1395
  Linie 363: x=1899, y=1395
  Linie 364: x=1907, y=1398
  Linie 365: x=1910, y=1398
  Linie 366: x=1919, y=1398
  Linie 367: x=1921, y=1398
  Linie 368: x=1926, y=1394
  Linie 369: x=1935, y=1400
  Linie 370: x=1936, y=1399
  Linie 371: x=1946, y=1401
  Linie 372: x=1951, y=1406
  Linie 373: x=1952, y=1404
  Linie 374: x=1960, y=1408
  Linie 375: x=1966, y=1406
  Linie 376: x=1971, y=1411
  Linie 377: x=1973, y=1407
  Linie 378: x=1982, y=1411
  Linie 379: x=1983, y=1411
  Linie 380: x=1993, y=1413
  Linie 381: x=1994, y=1412
  Linie 382: x=1999, y=1411
  Linie 383: x=2008, y=1413
  Linie 384: x=2014, y=1416
  Linie 385: x=2015, y=1416
  Linie 386: x=2020, y=1414
  Linie 387: x=2026, y=1416
  Linie 388: x=2030, y=1415
  Linie 389: x=2040, y=1422
  Linie 390: x=2045, y=1423
  Linie 391: x=2050, y=1424
  Linie 392: x=2056, y=1421
  Linie 393: x=2057, y=1418
  Linie 394: x=2062, y=1421
  Linie 395: x=2067, y=1424
  Linie 396: x=2077, y=1427
  Linie 397: x=2082, y=1433
  Linie 398: x=2086, y=1431
  Linie 399: x=2091, y=1429
  Linie 400: x=2096, y=1428
  Linie 401: x=2099, y=1428
  Linie 402: x=2104, y=1429
  Linie 403: x=2113, y=1434
  Linie 404: x=2118, y=1432
  Linie 405: x=2120, y=1431
  Linie 406: x=2129, y=1433
  Linie 407: x=2130, y=1433
  Linie 408: x=2140, y=1436
  Linie 409: x=2145, y=1438
  Linie 410: x=2146, y=1437
  Linie 411: x=2151, y=1444
  Linie 412: x=2158, y=1441
  Linie 413: x=2162, y=1441
  Linie 414: x=2167, y=1441
  Linie 415: x=2172, y=1440
  Linie 416: x=2178, y=1444
  Linie 417: x=2187, y=1448
  Linie 418: x=2191, y=1445
  Linie 419: x=2193, y=1445
  Linie 420: x=2198, y=1441
  Linie 421: x=2204, y=1441
  Linie 422: x=2210, y=1456
  Linie 423: x=2218, y=1457
  Linie 424: x=2219, y=1458
  Linie 425: x=2229, y=1457
  Linie 426: x=2234, y=1460
  Linie 427: x=2239, y=1456
  Linie 428: x=2245, y=1456
  Linie 429: x=2250, y=1455
  Linie 430: x=2251, y=1455
  Linie 431: x=2256, y=1456
  Linie 432: x=2261, y=1461
  Linie 433: x=2270, y=1464
  Linie 434: x=2276, y=1468
  Linie 435: x=2281, y=1464
  Linie 436: x=2282, y=1464
  Linie 437: x=2288, y=1462
  Linie 438: x=2293, y=1465
  Linie 439: x=2298, y=1462
  Linie 440: x=2305, y=1464
  Linie 441: x=2313, y=1461
  Linie 442: x=2317, y=1461
  Linie 443: x=2320, y=1456
  Linie 444: x=2328, y=1471
  Linie 445: x=2330, y=1470
  Linie 446: x=2339, y=1474
  Linie 447: x=2344, y=1477
  Linie 448: x=2345, y=1476
  Linie 449: x=2351, y=1476
  Linie 450: x=2356, y=1475
  Linie 451: x=2365, y=730
  Linie 452: x=2371, y=692
  Linie 453: x=2374, y=2335
  Linie 454: x=2381, y=2383
  Linie 455: x=2386, y=1480
  Linie 456: x=2392, y=1483
  Linie 457: x=2393, y=1483
  Linie 458: x=2398, y=1480
  Linie 459: x=2407, y=2142
  Linie 460: x=2413, y=2140
  Linie 461: x=2414, y=2140
  Linie 462: x=2419, y=2197
  Linie 463: x=2428, y=2173
  Linie 464: x=2434, y=2168
  Linie 465: x=2435, y=2168
  Linie 466: x=2440, y=1385
  Linie 467: x=2445, y=2185
  Linie 468: x=2453, y=131
  Linie 469: x=2459, y=2610
  Linie 470: x=2461, y=2615
  Linie 471: x=2466, y=2618
  Linie 472: x=2472, y=2606
  Linie 473: x=2477, y=2605
  Linie 474: x=2482, y=2596
  Linie 475: x=2488, y=2595
  Linie 476: x=2493, y=555
  Linie 477: x=2499, y=448
  Linie 478: x=2507, y=469
  Linie 479: x=2510, y=1546
  Linie 480: x=2518, y=1526
  Linie 481: x=2523, y=1524
  Linie 482: x=2528, y=1518
  Linie 483: x=2533, y=1511
  Linie 484: x=2534, y=1514
  Linie 485: x=2544, y=1516
  Linie 486: x=2549, y=1514
  Linie 487: x=2552, y=1510
  Linie 488: x=2555, y=1507
  Linie 489: x=2561, y=1504
  Linie 490: x=2566, y=1504
  Linie 491: x=2575, y=452
  Linie 492: x=2581, y=1539
  Linie 493: x=2586, y=1536
  Linie 494: x=2591, y=1533
  Linie 495: x=2596, y=1528
  Linie 496: x=2599, y=1526
  Linie 497: x=2603, y=1522
  Linie 498: x=2608, y=1519
  Linie 499: x=2616, y=1538
  Linie 500: x=2621, y=1549
